Block,Area_m2,MeanDepth_m,Volume_m3
Block-442,1200.0,0.86,1032.2
Block-443,2100.0,1.11,2217.9
Block-444,1900.0,0.33,723.6
Block-445,900.0,1.51,1389.9
Block-446,900.0,4.08,3717.7
Block-447,1600.0,3.23,5129.2
Block-448,1800.0,1.28,2362.9
Block-449,1200.0,3.08,3707.9
Block-450,6800.0,1.1,9177.2
Block-451,4700.0,1.91,9637.5
Block-452,900.0,2.24,2041.5
Block-453,1500.0,2.39,3645.4
Block-454,7100.0,1.74,18768.0
Block-455,900.0,3.61,3272.5
Block-456,2100.0,0.92,1731.7
Block-457,900.0,1.83,1608.6
Block-458,41600.0,2.27,101828.5
Block-459,900.0,1.77,1592.4
Block-460,5000.0,2.81,14498.3
Block-461,1200.0,2.87,3468.6
Block-462,4700.0,1.19,5613.4
Block-463,900.0,0.67,689.8
Block-464,900.0,2.29,2082.4
Block-465,1200.0,2.13,2553.6
Block-466,9000.0,1.04,18250.5
Block-467,900.0,1.46,1325.5
Block-468,900.0,1.93,1771.2
Block-469,1500.0,2.09,3001.0
Block-470,4900.0,-0.04,3073.0
Block-471,9300.0,3.24,29649.4
Block-472,2500.0,2.22,6040.0
Block-473,2400.0,2.06,4913.2
Block-474,1200.0,1.63,2013.1
Block-475,2500.0,2.14,5385.1
Block-476,900.0,1.78,1610.8
Block-477,2000.0,3.5,6915.6
Block-478,900.0,2.72,2465.3
Block-479,1500.0,2.37,3588.3
Block-480,900.0,1.62,1490.6
Block-481,1200.0,0.98,1173.5
Block-482,900.0,0.56,521.1
Block-483,900.0,1.78,1640.9
Block-484,1200.0,2.16,2598.2
Block-485,1200.0,2.81,3443.0
Block-486,2600.0,0.14,685.7
Block-487,900.0,2.52,2252.6
Block-488,8000.0,1.92,17019.9
Block-489,3800.0,3.3,12914.4
Block-490,900.0,1.16,1083.7
Block-491,2400.0,0.95,2186.2
Block-492,7400.0,1.08,7865.4
Block-493,5800.0,3.19,17329.1
Block-494,6300.0,2.6,17339.6
Block-495,2700.0,1.08,3079.5
