Block,Area_m2,MeanDepth_m,Volume_m3
Block-622,4000.0,7.32,30703.1
Block-623,2200.0,3.27,7487.6
Block-624,5500.0,13.27,66851.3
Block-625,1900.0,7.06,12851.6
Block-626,2200.0,5.79,12715.2
Block-627,4200.0,6.22,25202.6
Block-628,2300.0,9.92,22559.0
Block-629,1200.0,3.02,3532.2
Block-630,7500.0,6.01,44508.4
Block-631,2300.0,2.92,6599.7
Block-632,19600.0,11.95,241953.6
Block-633,7400.0,8.14,57708.3
Block-634,35800.0,11.14,385278.7
Block-635,12700.0,9.3,115718.5
Block-636,900.0,3.04,2687.6
Block-637,3800.0,10.81,40500.6
Block-638,900.0,2.45,2125.1
Block-639,5800.0,7.32,41410.0
Block-640,6400.0,7.78,47842.2
Block-641,3500.0,5.61,18916.3
Block-642,91500.0,21.19,2040438.5
Block-643,6000.0,5.83,35059.7
Block-644,20600.0,4.33,91023.1
Block-645,900.0,5.66,5004.9
Block-646,2600.0,10.81,27298.6
Block-647,7400.0,6.75,50687.0
Block-648,900.0,3.27,2865.2
Block-649,11100.0,6.59,70677.2
Block-650,7100.0,7.84,54383.5
Block-651,5100.0,7.68,38710.2
Block-652,900.0,4.59,4105.9
Block-653,1200.0,2.74,3200.1
Block-654,2500.0,3.74,9358.7
Block-655,2100.0,5.76,11279.2
Block-656,2000.0,5.36,10337.8
Block-657,15000.0,7.22,113615.2
Block-658,3900.0,4.33,16893.3
Block-659,2900.0,6.49,17992.9
Block-660,4600.0,6.6,29747.0
Block-661,1500.0,4.03,5973.0
Block-662,2200.0,4.16,9200.2
Block-663,9100.0,7.23,69889.5
Block-664,2300.0,6.16,14049.7
Block-665,1700.0,6.96,11651.8
Block-666,6300.0,12.44,85364.2
Block-667,900.0,1.09,1043.9
Block-668,26700.0,13.58,366711.6
Block-669,48300.0,23.06,1072404.6
Block-670,8700.0,8.29,68524.2
Block-671,900.0,6.3,5581.0
Block-672,2100.0,3.54,7159.3
Block-673,2200.0,6.29,13720.3
Block-674,29100.0,9.78,297856.7
Block-675,900.0,1.86,1699.9
Block-676,748700.0,18.32,14215445.3
Block-677,10400.0,6.81,69598.7
Block-678,3000.0,6.11,17157.6
Block-679,23200.0,10.87,256186.4
Block-680,900.0,3.71,3221.4
Block-681,1800.0,3.73,6548.1
Block-682,900.0,2.72,2452.1
Block-683,1500.0,3.41,5260.2
Block-684,900.0,4.79,4356.6
Block-685,1200.0,6.53,7795.8
Block-686,22500.0,12.99,282858.2
Block-687,3600.0,3.51,12128.8
Block-688,143300.0,12.88,1903795.7
Block-689,1800.0,5.0,8722.2
Block-690,1500.0,5.32,7724.2
Block-691,6100.0,9.9,61067.5
Block-692,1500.0,2.78,4013.4
Block-693,16000.0,16.91,251789.2
Block-694,3800.0,5.23,19548.5
Block-695,1500.0,4.08,6039.5
Block-696,18600.0,6.48,124346.1
Block-697,4600.0,6.7,31285.0
Block-698,3500.0,7.62,28413.7
Block-699,900.0,4.54,4010.8
Block-700,6800.0,9.95,68422.0
Block-701,416000.0,23.66,9450102.3
Block-702,1700.0,3.37,5503.9
Block-703,6200.0,7.56,44685.5
Block-704,1200.0,4.25,4925.1
Block-705,2200.0,4.04,8555.8
Block-706,900.0,4.15,3761.3
Block-707,900.0,2.02,1766.8
Block-708,13000.0,12.5,162347.0
Block-709,15200.0,10.27,146655.3
Block-710,1200.0,3.55,4298.1
Block-711,10100.0,3.32,34197.2
Block-712,1200.0,4.15,5081.2
Block-713,1400.0,2.82,4081.6
Block-714,900.0,5.09,4438.4
Block-715,7000.0,7.28,46857.0
Block-716,1800.0,2.74,4884.2
Block-717,16400.0,11.2,181122.4
Block-718,4600.0,6.5,29095.7
Block-719,900.0,5.12,4548.2
Block-720,71900.0,14.17,1037658.9
Block-721,900.0,3.44,3037.9
Block-722,1500.0,5.75,8511.4
Block-723,900.0,3.58,3194.5
Block-724,1500.0,3.21,5049.7
Block-725,2800.0,4.83,14069.2
Block-726,900.0,4.94,4461.4
Block-727,1200.0,2.95,3383.8
Block-728,1200.0,4.8,5657.8
Block-729,19100.0,8.32,156597.3
Block-730,15700.0,10.46,163204.0
Block-731,21800.0,9.04,205191.1
Block-732,2400.0,5.25,12686.4
Block-733,5000.0,7.44,35657.9
Block-734,6700.0,8.12,55285.5
Block-735,2900.0,5.51,16071.0
Block-736,1500.0,4.43,6896.4
